Zipcode,Dispensary Count,Patient Count,Latitude,Longitude
16365,0,640,41.84,-79.14
16370,0,3,41.58,-79.46
16371,0,131,41.85,-79.31
16372,0,8,41.2,-79.87
16373,0,70,41.18,-79.7
16374,0,68,41.26,-79.82
16401,0,159,41.88,-80.41
16402,0,22,41.99,-79.5
16403,0,304,41.8,-80.06
16404,0,49,41.73,-79.76
16405,0,20,41.95,-79.54
16406,0,137,41.75,-80.36
16407,0,335,41.92,-79.63
16410,0,76,41.9,-80.34
16411,0,79,41.98,-80.44
16412,0,571,41.88,-80.17
16415,0,521,42.03,-80.25
16417,0,471,42,-80.31
16420,0,9,41.72,-79.54
16421,0,136,42.17,-79.93
16422,0,19,41.67,-80.31
16423,0,266,42.01,-80.34
16424,0,225,41.65,-80.42
16426,0,256,41.99,-80.13
16427,0,19,41.87,-79.97
16428,0,630,42.21,-79.83
16430,0,2,42,-80.42
16433,0,259,41.71,-80.13
16434,0,43,41.82,-79.68
16435,0,84,41.8,-80.37
16436,0,13,41.88,-79.51
16438,0,344,41.89,-79.84
16440,0,42,41.77,-80.11
16441,0,478,41.94,-79.98
16442,0,137,42,-79.8
16443,0,79,41.94,-80.47
16501,0,92,42.12,-80.08
16502,0,1024,42.11,-80.1
16503,0,689,42.13,-80.06
16504,0,876,42.11,-80.05
16505,1,1123,42.13,-80.14
16506,0,1417,42.06,-80.15
16507,0,602,42.14,-80.08
16508,1,1172,42.1,-80.09
16509,3,1657,42.06,-80.04
16510,0,1378,42.11,-79.95
16511,0,655,42.17,-79.99
16512,0,14,42.12,-80.08
16514,0,14,42.12,-80.08
16546,0,3,42.1,-80.05
16563,0,4,42.12,-79.99
16601,0,2559,40.56,-78.37
16602,2,2382,40.5,-78.4
16603,0,5,40.5,-78.4
16611,0,99,40.55,-78.1
16613,0,67,40.55,-78.54
16616,0,8,40.77,-78.44
16617,0,147,40.6,-78.33
16619,0,24,40.68,-78.42
16620,0,35,40.84,-78.35
16621,0,49,40.2,-78.14
16622,0,8,40.33,-78.07
16623,0,17,40.29,-78.02
16624,0,2,40.57,-78.6
16625,0,243,40.29,-78.44
16627,0,129,40.74,-78.53
16629,0,2,40.53,-78.51
16630,0,227,40.46,-78.58
16633,0,8,40.16,-78.23
16634,1,35,40.21,-78.17
16635,0,634,40.42,-78.42
16636,0,29,40.6,-78.5
16637,0,179,40.32,-78.45
16638,0,8,40.34,-78.2
16639,0,58,40.7,-78.45
16640,0,89,40.71,-78.58
16641,0,168,40.48,-78.55
16644,0,8,40.7,-78.44
16645,0,6,40.8,-78.5
16646,0,89,40.66,-78.7
16647,0,27,40.39,-78.11
16648,0,940,40.43,-78.39
16650,0,126,40.12,-78.29
16651,0,156,40.82,-78.35
16652,0,827,40.49,-78.01
16654,0,2,40.49,-78.03
