Zipcode,Dispensary Count,Patient Count,Latitude,Longitude,Nearest Disp Distance,Nearest Disp Zipcode,Patient Miles
16735,0,236,41.66,-78.8,22.29198395,16701,5260.908212
16832,0,39,40.84,-77.43,22.28718334,16801,869.2001501
15522,0,567,40.01,-78.5,22.27184056,16634,12628.1336
17217,0,11,40.25,-77.7,22.23675084,17201,244.6042593
16651,0,156,40.82,-78.35,22.23628048,16602,3468.859756
16036,0,2,41.14,-79.68,22.22281467,16001,44.44562933
16861,0,13,40.86,-78.52,22.22281467,15801,288.8965906
16661,0,59,40.82,-78.44,22.18033209,16602,1308.639593
16692,0,24,40.74,-78.68,22.15798536,16602,531.7916487
16858,0,180,41.01,-78.22,22.15086313,16803,3987.155363
17212,0,29,39.84,-78.05,22.14825736,17201,642.2994636
17075,0,10,40.39,-77.83,21.83720575,16634,218.3720575
15539,0,26,40.13,-78.59,21.83553224,15901,567.7238383
18823,0,10,41.78,-75.7,21.7914712,18519,217.914712
16255,0,100,41.1,-79.49,21.78927407,15825,2178.927407
16743,0,144,41.81,-78.27,21.70954861,16701,3126.175
17726,0,2,41.12,-77.42,21.70544752,17701,43.41089504
18473,0,11,41.53,-75.21,21.6709076,18519,238.3799836
18826,0,53,41.76,-75.78,21.66140871,18519,1148.054662
16401,0,159,41.88,-80.41,21.65660962,16335,3443.40093
18619,0,5,41.43,-76.71,21.62333893,17701,108.1166947
18630,0,176,41.61,-76.04,21.5704391,18504,3796.397281
16374,0,68,41.26,-79.82,21.53415326,16137,1464.322422
17051,0,126,40.49,-77.74,21.49272161,16801,2708.082923
15857,0,618,41.42,-78.55,21.47469908,15801,13271.36403
18430,0,2,41.76,-75.47,21.4686233,18519,42.9372466
16443,0,79,41.94,-80.47,21.45373594,16505,1694.845139
15560,0,18,40.02,-78.91,21.38870208,15901,384.9966375
16645,0,6,40.8,-78.5,21.35716354,16602,128.1429812
15554,0,100,40.1,-78.64,21.34924872,15901,2134.924872
17213,0,10,40.25,-77.77,21.33239249,16634,213.3239249
15742,0,52,40.81,-78.83,21.31108408,15701,1108.176372
16334,0,16,41.29,-79.45,21.26255664,15825,340.2009063
16328,0,5,41.65,-79.73,21.23534775,16335,106.1767387
16854,0,79,40.89,-77.47,21.07566614,16801,1664.977625
15738,0,6,40.69,-78.76,21.05627753,15701,126.3376652
18844,0,77,41.69,-75.91,20.98680654,18504,1615.984104
17054,0,8,40.5,-77.73,20.98083145,16801,167.8466516
17062,0,134,40.55,-77.15,20.97038798,17110,2810.031989
16332,0,19,41.37,-79.37,20.92905738,15825,397.6520901
16663,0,15,40.8,-78.35,20.86656603,16602,312.9984904
16333,0,25,41.75,-78.93,20.83166869,16701,520.7917171
16681,0,10,40.8,-78.43,20.76040481,16602,207.6040481
16254,0,131,41.25,-79.46,20.75540753,15825,2718.958387
18629,0,88,41.56,-76.06,20.72177646,18504,1823.516328
16671,0,36,40.8,-78.39,20.7071201,16602,745.4563236
15502,0,21,40.03,-79.24,20.69120716,15650,434.5153503
16361,0,6,41.38,-79.35,20.69076756,15825,124.1446054
16855,0,6,41,-78.38,20.67438131,15801,124.0462878
15424,0,74,39.8,-79.35,20.63342573,15401,1526.873504
16404,0,49,41.73,-79.76,20.61685675,16335,1010.225981
16210,0,55,40.9,-79.5,20.61144519,16001,1133.629486
15541,0,110,40.04,-79,20.56781782,15901,2262.45996
16652,0,827,40.49,-78.01,20.5552684,16602,16999.20696
16220,0,6,41.42,-79.27,20.48727719,15825,122.9236631
18453,0,23,41.73,-75.43,20.46550233,18519,470.7065535
16863,0,14,40.9,-78.5,20.46397536,15801,286.4956551
18210,0,476,41,-75.58,20.43859338,18360,9728.770449
18431,0,493,41.57,-75.25,20.39362517,18519,10054.05721
17563,0,134,39.76,-76.18,20.34312547,17602,2725.978813
16656,0,46,40.77,-78.55,20.23024114,16602,930.5910923
17219,0,12,40.22,-77.7,20.18318454,17201,242.1982144
17044,0,1143,40.59,-77.57,20.16760593,16801,23051.57358
15737,0,21,40.6,-78.76,20.16515373,16602,423.4682284
15359,0,5,39.88,-80.28,20.12044218,15301,100.6022109
15773,0,27,40.63,-78.74,20.01396103,16602,540.3769477
16239,0,45,41.45,-79.08,20.01271598,15825,900.5722191
16238,0,28,40.79,-79.52,19.94668243,15068,558.5071081
17029,0,9,40.56,-77.62,19.94668243,16801,179.5201419
16834,0,18,41.05,-78.09,19.91211559,16803,358.4180806
15926,0,97,40.05,-78.82,19.8971846,15901,1930.026906
15772,0,63,40.86,-78.94,19.89297274,15701,1253.257283
17014,0,5,40.66,-77.19,19.83393112,17870,99.1696556
17845,0,103,40.86,-77.23,19.82992045,17870,2042.481807
18325,0,117,41.26,-75.27,19.76785274,18360,2312.838771
16847,0,14,41,-78.17,19.75626591,16803,276.5877228
17747,0,78,41.03,-77.3,19.72156094,17701,1538.281754
17037,0,35,40.43,-77.42,19.66861812,17013,688.401634
15714,0,274,40.66,-78.78,19.64301907,15701,5382.187225
15724,0,65,40.72,-78.8,19.64064224,15701,1276.641745
16201,0,860,40.82,-79.52,19.5854492,16001,16843.48631
15370,0,403,39.89,-80.18,19.57869307,15301,7890.213309
18426,0,221,41.32,-75.3,19.51491671,18505,4312.796593
16654,0,2,40.49,-78.03,19.5023735,16602,39.004747
17763,0,2,41.51,-76.98,19.49688287,17701,38.99376575
